STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
        856;20030201;-999;-999;   3.1;    3;   0.0;   0;    7.200;-999;  -999;   2.7;  954.50;   -6.9;   76.00;   -1.0;  -12.8;   -4.7;eor
        856;20030202;-999;-999;   2.6;    3;   0.4;   4;    0.000;-999;  -999;   3.3;  949.00;   -5.9;   82.00;    1.5;  -14.1;   -5.0;eor
        856;20030203;-999;-999;   4.0;    3;   4.5;   4;    0.500;-999;  -999;   4.7;  935.60;    3.0;   62.00;    5.7;   -0.9;   -0.9;eor
        856;20030204;-999;-999;   2.8;    3;   1.1;   4;    0.000;-999;  -999;   5.5;  929.10;   -0.3;   92.00;    2.0;   -1.8;   -0.8;eor
        856;20030205;-999;-999;   6.4;    3;   1.1;   4;    0.100;-999;  -999;   4.7;  936.70;   -1.7;   87.00;    0.0;   -3.8;   -1.6;eor
        856;20030206;-999;-999;   5.1;    3;   1.0;   4;    0.000;-999;  -999;   4.6;  949.30;   -2.5;   90.00;   -1.3;   -3.6;   -0.4;eor
        856;20030207;-999;-999;   4.1;    3;   1.3;   4;    1.400;-999;  -999;   3.8;  958.00;   -2.0;   73.00;    0.0;   -3.9;   -0.4;eor
        856;20030208;-999;-999;   2.6;    3;  12.1;   4;    0.000;-999;  -999;   5.7;  957.00;   -0.8;   98.00;    0.1;   -2.6;   -0.2;eor
        856;20030209;-999;-999;   2.0;    3;   0.0;   0;    0.000;-999;  -999;   4.4;  955.90;   -4.0;   96.00;   -1.2;   -5.9;    0.0;eor
        856;20030210;-999;-999;   1.8;    3;   0.0;   0;    0.000;-999;  -999;   4.0;  956.90;   -5.3;   96.00;   -4.4;   -6.3;    0.0;eor
        856;20030211;-999;-999;   1.9;    3;   0.0;   4;    0.000;-999;  -999;   3.7;  960.80;   -5.8;   93.00;   -4.8;   -6.7;    0.0;eor
        856;20030212;-999;-999;   2.1;    3;   0.0;   0;    2.500;-999;  -999;   3.2;  960.20;   -6.7;   87.00;   -4.9;  -11.1;   -0.4;eor
        856;20030213;-999;-999;   1.6;    3;   0.0;   0;    3.200;-999;  -999;   2.9;  957.30;   -8.1;   89.00;   -4.0;  -10.2;   -0.4;eor
        856;20030214;-999;-999;   1.1;    3;   0.0;   4;    1.500;-999;  -999;   3.0;  958.20;   -7.9;   90.00;   -4.1;  -12.2;   -0.4;eor
        856;20030215;-999;-999;   1.2;    3;   0.1;   4;    2.500;-999;  -999;   2.9;  961.70;   -9.1;   91.00;   -4.2;  -15.6;   -0.7;eor
        856;20030216;-999;-999;   4.7;    3;   0.6;   4;    5.600;-999;  -999;   3.3;  962.50;   -6.0;   84.00;   -2.9;   -8.8;   -0.4;eor
        856;20030217;-999;-999;   3.1;    3;   0.0;   0;    8.100;-999;  -999;   3.0;  963.30;   -7.3;   84.00;   -2.7;  -11.6;   -0.8;eor
        856;20030218;-999;-999;   2.7;    3;   0.0;   4;    7.500;-999;  -999;   2.5;  959.00;   -8.4;   78.00;   -3.7;  -13.6;  -16.8;eor
        856;20030219;-999;-999;   3.3;    3;   0.2;   4;    9.700;-999;  -999;   2.8;  953.70;   -8.2;   84.00;   -3.4;  -15.4;  -17.9;eor
        856;20030220;-999;-999;   2.2;    3;   0.0;   0;    9.800;-999;  -999;   3.4;  949.40;   -5.5;   83.00;    2.2;  -11.4;  -14.9;eor
        856;20030221;-999;-999;   1.4;    3;   0.0;   0;    4.500;-999;  -999;   3.9;  955.50;   -5.4;   94.00;   -0.5;  -10.8;  -13.4;eor
        856;20030222;-999;-999;   1.2;    3;   0.0;   0;    5.000;-999;  -999;   3.9;  960.70;   -5.7;   97.00;   -1.4;  -10.4;  -14.0;eor
        856;20030223;-999;-999;   1.2;    3;   0.0;   0;    9.200;-999;  -999;   4.2;  964.70;   -4.4;   92.00;    5.3;  -11.0;  -13.8;eor
        856;20030224;-999;-999;   1.6;    3;   0.0;   0;   10.000;-999;  -999;   3.8;  963.20;   -3.6;   83.00;    3.7;   -9.5;  -13.6;eor
        856;20030225;-999;-999;   1.6;    3;   0.0;   0;   10.400;-999;  -999;   3.7;  957.00;   -2.2;   74.00;   -999;   -999;-999;eor
        856;20030226;-999;-999;   2.4;    3;   0.0;   0;   10.400;-999;  -999;   3.7;  952.10;    1.1;   57.00;   -999;   -999;-999;eor
        856;20030227;-999;-999;   1.6;    3;   0.0;   0;   10.400;-999;  -999;   3.3;  952.10;    1.0;   53.00;   12.2;   -5.9;   -9.8;eor
        856;20030228;-999;-999;   1.7;    3;   0.0;   0;    9.900;-999;  -999;   4.3;  959.40;    3.8;   55.00;   12.6;   -3.5;   -7.3;eor
        856;20030301;-999;-999;   1.6;    3;   0.1;   4;    0.100;-999;  -999;   5.9;  956.70;    3.8;   74.00;    9.1;   -0.5;   -3.5;eor
        856;20030302;-999;-999;   2.3;    3;   5.9;   4;    2.700;-999;  -999;   7.3;  949.90;    3.9;   90.00;    8.2;   -0.3;   -2.2;eor
        856;20030303;-999;-999;   2.9;    3;   0.4;   4;    0.000;-999;  -999;   6.6;  953.10;    3.2;   85.00;    4.1;    1.8;    0.7;eor
        856;20030304;-999;-999;   1.7;    3;   0.0;   0;   10.500;-999;  -999;   5.8;  957.80;    2.9;   79.00;    8.5;   -1.4;   -3.6;eor
        856;20030305;-999;-999;   1.9;    3;   0.0;   4;    3.300;-999;  -999;   5.5;  955.60;    2.9;   75.00;   10.0;   -2.8;   -4.1;eor
        856;20030306;-999;-999;   2.8;    3;  10.8;   4;    2.400;-999;  -999;   6.2;  950.40;    1.2;   93.00;    4.7;   -1.8;   -3.4;eor
        856;20030307;-999;-999;   3.7;    3;   0.7;   0;    0.800;-999;  -999;   7.0;  957.10;    2.5;   96.00;    5.6;   -1.3;   -2.1;eor
        856;20030308;-999;-999;   2.5;    3;   0.2;   4;    3.400;-999;  -999;   6.0;  958.60;    2.6;   83.00;    6.6;   -2.7;   -4.2;eor
        856;20030309;-999;-999;   2.9;    3;   0.0;   0;    0.400;-999;  -999;   5.4;  959.30;    6.4;   59.00;   11.3;   -0.2;   -3.0;eor
        856;20030310;-999;-999;   2.3;    3;   0.0;   0;   11.100;-999;  -999;   5.0;  961.10;   10.0;   42.00;   16.4;    4.2;   -0.3;eor
        856;20030311;-999;-999;   2.7;    3;   0.0;   4;    4.900;-999;  -999;   5.6;  957.40;   11.6;   43.00;   17.3;    3.9;    1.2;eor
        856;20030312;-999;-999;   4.0;    3;  15.4;   4;    0.100;-999;  -999;   6.9;  955.90;    7.3;   72.00;   13.9;    2.4;    2.4;eor
        856;20030313;-999;-999;   3.3;    3;   0.5;   4;    0.500;-999;  -999;   6.0;  963.30;    2.6;   81.00;    4.5;   -0.7;   -2.5;eor
        856;20030314;-999;-999;   2.4;    3;   0.2;   4;    3.800;-999;  -999;   4.5;  964.50;   -0.4;   76.00;    2.6;   -2.3;   -3.2;eor
        856;20030315;-999;-999;   4.1;    3;   0.2;   4;    1.300;-999;  -999;   4.9;  969.90;   -0.6;   84.00;    1.7;   -2.7;   -4.4;eor
        856;20030316;-999;-999;   2.3;    3;   0.0;   0;    4.600;-999;  -999;   4.7;  972.80;    0.9;   73.00;    4.5;   -2.4;   -5.7;eor
        856;20030317;-999;-999;   1.4;    3;   0.0;   0;   10.800;-999;  -999;   4.5;  965.90;    1.9;   67.00;    8.4;   -3.9;   -6.6;eor
        856;20030318;-999;-999;   1.8;    3;   0.0;   0;   10.400;-999;  -999;   5.3;  963.50;    2.3;   75.00;    8.6;   -2.9;   -5.6;eor
        856;20030319;-999;-999;   1.7;    3;   0.0;   0;   10.400;-999;  -999;   5.4;  960.60;    3.5;   71.00;   10.3;   -3.7;   -5.3;eor
