Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
2290;Hohenpeiﬂenberg;TMK;01.01.1787;31.12.1787;365;;eor;                                                                                                                                                
2290;Hohenpeiﬂenberg;TMK;16.12.1791;31.12.1791;16;;eor;                                                                                                                                                 
2290;Hohenpeiﬂenberg;TMK;01.01.1793;31.12.1793;365;;eor;                                                                                                                                                
2290;Hohenpeiﬂenberg;TMK;01.01.1799;31.12.1799;365;;eor;                                                                                                                                                
2290;Hohenpeiﬂenberg;TMK;01.01.1811;31.12.1812;731;;eor;                                                                                                                                                
2290;Hohenpeiﬂenberg;TMK;03.05.1945;13.05.1945;11;Kriegsjahre;eor;                                                                                                                                      
2290;Hohenpeiﬂenberg;TGK;01.01.1942;28.02.1942;59;Kriegsjahre;eor;                                                                                                                                      
2290;Hohenpeiﬂenberg;TGK;08.03.1942;09.03.1942;2;Kriegsjahre;eor;                                                                                                                                       
2290;Hohenpeiﬂenberg;TGK;13.03.1942;14.03.1942;2;Kriegsjahre;eor;                                                                                                                                       
2290;Hohenpeiﬂenberg;TGK;03.05.1945;13.05.1945;11;Kriegsjahre;eor;                                                                                                                                      
2290;Hohenpeiﬂenberg;TGK;04.04.2001;04.04.2001;1;;eor;                                                                                                                                                  
2290;Hohenpeiﬂenberg;PM;01.01.1787;31.12.1788;731;;eor;                                                                                                                                                 
2290;Hohenpeiﬂenberg;PM;16.12.1791;31.12.1791;16;;eor;                                                                                                                                                  
2290;Hohenpeiﬂenberg;PM;01.01.1793;31.12.1793;365;;eor;                                                                                                                                                 
2290;Hohenpeiﬂenberg;PM;01.01.1799;31.12.1799;365;;eor;                                                                                                                                                 
2290;Hohenpeiﬂenberg;PM;01.01.1811;31.12.1812;731;;eor;                                                                                                                                                 
2290;Hohenpeiﬂenberg;PM;16.10.1825;16.10.1825;1;;eor;                                                                                                                                                   
2290;Hohenpeiﬂenberg;PM;16.11.1825;16.11.1825;1;;eor;                                                                                                                                                   
2290;Hohenpeiﬂenberg;FM;09.04.1940;19.04.1940;11;Kriegsjahre;eor;                                                                                                                                       
2290;Hohenpeiﬂenberg;FM;01.03.1945;31.03.1945;31;Kriegsjahre;eor;                                                                                                                                       
2290;Hohenpeiﬂenberg;FM;01.05.1945;14.05.1945;14;Kriegsjahre;eor;                                                                                                                                       
2290;Hohenpeiﬂenberg;FM;23.11.1945;25.11.1945;3;Kriegsjahre;eor;                                                                                                                                        
2290;Hohenpeiﬂenberg;FM;23.08.1987;24.08.1987;2;;eor;                                                                                                                                                   
