Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Gesamt_Fehlwerte;Beschreibung;eor;                                                                                                              
4625;Schwerin;TMK;01.01.1890;02.04.2024;1858;Gesamt_Messzeitraum;eor;                                                                                                                                   
4625;Schwerin;TXK;01.01.1890;02.04.2024;1857;Gesamt_Messzeitraum;eor;                                                                                                                                   
4625;Schwerin;TNK;01.01.1890;02.04.2024;1857;Gesamt_Messzeitraum;eor;                                                                                                                                   
4625;Schwerin;TGK;01.01.1890;02.04.2024;1649;Gesamt_Messzeitraum;eor;                                                                                                                                   
4625;Schwerin;PM;01.01.1890;02.04.2024;1576;Gesamt_Messzeitraum;eor;                                                                                                                                    
4625;Schwerin;FM;01.01.1890;02.04.2024;242;Gesamt_Messzeitraum;eor;                                                                                                                                     
4625;Schwerin;FX;01.01.1890;02.04.2024;1765;Gesamt_Messzeitraum;eor;                                                                                                                                    
4625;Schwerin;UPM;01.01.1890;02.04.2024;1885;Gesamt_Messzeitraum;eor;                                                                                                                                   
4625;Schwerin;VPM;01.01.1890;02.04.2024;1885;Gesamt_Messzeitraum;eor;                                                                                                                                   
4625;Schwerin;NM;01.01.1890;02.04.2024;1978;Gesamt_Messzeitraum;eor;                                                                                                                                    
4625;Schwerin;SDK;01.01.1890;26.09.2023;7189;Gesamt_Messzeitraum;eor;                                                                                                                                   
4625;Schwerin;RSK;01.01.1890;02.04.2024;1862;Gesamt_Messzeitraum;eor;                                                                                                                                   
4625;Schwerin;RSKF;01.01.1890;02.04.2024;1863;Gesamt_Messzeitraum;eor;                                                                                                                                  
4625;Schwerin;SHK_TAG;01.01.1890;02.04.2024;4915;Gesamt_Messzeitraum;eor;                                                                                                                               
Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
4625;Schwerin;TMK;01.11.1893;30.11.1893;30;;eor;                                                                                                                                                        
4625;Schwerin;TMK;01.03.1899;31.12.1899;306;;eor;                                                                                                                                                       
4625;Schwerin;TMK;01.04.1935;31.12.1935;275;;eor;                                                                                                                                                       
4625;Schwerin;TMK;01.02.1943;30.06.1946;1246;Kriegsjahre;eor;                                                                                                                                           
4625;Schwerin;TMK;29.04.2001;29.04.2001;1;;eor;                                                                                                                                                         
4625;Schwerin;TXK;01.11.1893;30.11.1893;30;;eor;                                                                                                                                                        
4625;Schwerin;TXK;01.03.1899;31.12.1899;306;;eor;                                                                                                                                                       
4625;Schwerin;TXK;01.04.1935;31.12.1935;275;;eor;                                                                                                                                                       
4625;Schwerin;TXK;01.02.1943;30.06.1946;1246;Kriegsjahre;eor;                                                                                                                                           
4625;Schwerin;TNK;01.11.1893;30.11.1893;30;;eor;                                                                                                                                                        
4625;Schwerin;TNK;01.03.1899;31.12.1899;306;;eor;                                                                                                                                                       
4625;Schwerin;TNK;01.04.1935;31.12.1935;275;;eor;                                                                                                                                                       
4625;Schwerin;TNK;01.02.1943;30.06.1946;1246;Kriegsjahre;eor;                                                                                                                                           
4625;Schwerin;TGK;01.01.1942;30.06.1946;1642;Kriegsjahre;eor;                                                                                                                                           
4625;Schwerin;TGK;16.03.2004;17.03.2004;2;;eor;                                                                                                                                                         
4625;Schwerin;TGK;24.12.2004;28.12.2004;5;;eor;                                                                                                                                                         
4625;Schwerin;PM;15.10.1933;10.11.1933;27;;eor;                                                                                                                                                         
4625;Schwerin;PM;29.07.1934;29.07.1934;1;;eor;                                                                                                                                                          
4625;Schwerin;PM;01.04.1935;31.12.1935;275;;eor;                                                                                                                                                        
4625;Schwerin;PM;01.02.1943;30.06.1946;1246;Kriegsjahre;eor;                                                                                                                                            
4625;Schwerin;PM;29.04.2001;29.04.2001;1;;eor;                                                                                                                                                          
4625;Schwerin;PM;21.04.2013;22.04.2013;2;;eor;                                                                                                                                                          
4625;Schwerin;PM;02.06.2013;03.06.2013;2;;eor;                                                                                                                                                          
4625;Schwerin;PM;20.09.2013;24.09.2013;5;;eor;                                                                                                                                                          
4625;Schwerin;PM;12.07.2014;14.07.2014;3;;eor;                                                                                                                                                          
4625;Schwerin;PM;16.07.2014;17.07.2014;2;;eor;                                                                                                                                                          
4625;Schwerin;PM;21.01.2015;23.01.2015;3;;eor;                                                                                                                                                          
4625;Schwerin;PM;11.03.2015;11.03.2015;1;;eor;                                                                                                                                                          
4625;Schwerin;PM;20.08.2015;25.08.2015;6;;eor;                                                                                                                                                          
4625;Schwerin;PM;29.01.2020;30.01.2020;2;;eor;                                                                                                                                                          
4625;Schwerin;FM;06.11.1991;14.11.1991;9;;eor;                                                                                                                                                          
4625;Schwerin;FM;26.11.1991;01.12.1991;6;;eor;                                                                                                                                                          
4625;Schwerin;FM;03.04.1992;06.04.1992;4;;eor;                                                                                                                                                          
4625;Schwerin;FM;26.04.1992;26.04.1992;1;;eor;                                                                                                                                                          
